RoleName,RoleArn
AWSReservedSSO_AWSPowerUserAccess_10485ebfdacdfc9c,arn:aws:iam::233693416966:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AWSPowerUserAccess_10485ebfdacdfc9c
AWSReservedSSO_AWSReadOnlyAccess_5505f2dd68e43b96,arn:aws:iam::233693416966:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_AWSReadOnlyAccess_5505f2dd68e43b96
AWSReservedSSO_ViewOnlyAccess_a544d3fdb92971f3,arn:aws:iam::233693416966:role/aws-reserved/sso.amazonaws.com/AWSReservedSSO_ViewOnlyAccess_a544d3fdb92971f3
AwsSecurityAudit,arn:aws:iam::233693416966:role/AwsSecurityAudit
AwsSecurityNacundaAudit,arn:aws:iam::233693416966:role/AwsSecurityNacundaAudit
AWSServiceRoleForAccessAnalyzer,arn:aws:iam::233693416966:role/aws-service-role/access-analyzer.amazonaws.com/AWSServiceRoleForAccessAnalyzer
AWSServiceRoleForAmazonEKS,arn:aws:iam::233693416966:role/aws-service-role/eks.amazonaws.com/AWSServiceRoleForAmazonEKS
AWSServiceRoleForAmazonGuardDuty,arn:aws:iam::233693416966:role/aws-service-role/guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDuty
AWSServiceRoleForAmazonGuardDutyMalwareProtection,arn:aws:iam::233693416966:role/aws-service-role/malware-protection.guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDutyMalwareProtection
AWSServiceRoleForAmazonInspector2,arn:aws:iam::233693416966:role/aws-service-role/inspector2.amazonaws.com/AWSServiceRoleForAmazonInspector2
AWSServiceRoleForAmazonOpenSearchService,arn:aws:iam::233693416966:role/aws-service-role/opensearchservice.amazonaws.com/AWSServiceRoleForAmazonOpenSearchService
AWSServiceRoleForAmazonSageMakerNotebooks,arn:aws:iam::233693416966:role/aws-service-role/sagemaker.amazonaws.com/AWSServiceRoleForAmazonSageMakerNotebooks
AWSServiceRoleForAmazonSSM,arn:aws:iam::233693416966:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM
AWSServiceRoleForAuditManager,arn:aws:iam::233693416966:role/aws-service-role/auditmanager.amazonaws.com/AWSServiceRoleForAuditManager
AWSServiceRoleForAWSCloud9,arn:aws:iam::233693416966:role/aws-service-role/cloud9.amazonaws.com/AWSServiceRoleForAWSCloud9
AWSServiceRoleForCloudFormationStackSetsOrgMember,arn:aws:iam::233693416966:role/aws-service-role/member.org.stacksets.cloudformation.amazonaws.com/AWSServiceRoleForCloudFormationStackSetsOrgMember
AWSServiceRoleForCloudTrail,arn:aws:iam::233693416966:role/aws-service-role/cloudtrail.amazonaws.com/AWSServiceRoleForCloudTrail
AWSServiceRoleForComputeOptimizer,arn:aws:iam::233693416966:role/aws-service-role/compute-optimizer.amazonaws.com/AWSServiceRoleForComputeOptimizer
AWSServiceRoleForConfig,arn:aws:iam::233693416966:role/aws-service-role/config.amazonaws.com/AWSServiceRoleForConfig
AWSServiceRoleForConfigMultiAccountSetup,arn:aws:iam::233693416966:role/aws-service-role/config-multiaccountsetup.amazonaws.com/AWSServiceRoleForConfigMultiAccountSetup
AWSServiceRoleForECS,arn:aws:iam::233693416966:role/aws-service-role/ecs.amazonaws.com/AWSServiceRoleForECS
AWSServiceRoleForFMS,arn:aws:iam::233693416966:role/aws-service-role/fms.amazonaws.com/AWSServiceRoleForFMS
AWSServiceRoleForIsengardControllerRoleInternal,arn:aws:iam::233693416966:role/aws-service-role/isengard.aws.internal/AWSServiceRoleForIsengardControllerRoleInternal
AWSServiceRoleForOrganizations,arn:aws:iam::233693416966:role/aws-service-role/organizations.amazonaws.com/AWSServiceRoleForOrganizations
AWSServiceRoleForSecurityHub,arn:aws:iam::233693416966:role/aws-service-role/securityhub.amazonaws.com/AWSServiceRoleForSecurityHub
AWSServiceRoleForSSO,arn:aws:iam::233693416966:role/aws-service-role/sso.amazonaws.com/AWSServiceRoleForSSO
AWSServiceRoleForSupport,arn:aws:iam::233693416966:role/aws-service-role/support.amazonaws.com/AWSServiceRoleForSupport
AWSServiceRoleForTrustedAdvisor,arn:aws:iam::233693416966:role/aws-service-role/trustedadvisor.amazonaws.com/AWSServiceRoleForTrustedAdvisor
AWSVAPTAudit,arn:aws:iam::233693416966:role/AWSVAPTAudit
cdk-hnb659fds-cfn-exec-role-233693416966-ca-central-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-cfn-exec-role-233693416966-ca-central-1
cdk-hnb659fds-cfn-exec-role-233693416966-us-east-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-cfn-exec-role-233693416966-us-east-1
cdk-hnb659fds-deploy-role-233693416966-ca-central-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-deploy-role-233693416966-ca-central-1
cdk-hnb659fds-deploy-role-233693416966-us-east-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-deploy-role-233693416966-us-east-1
cdk-hnb659fds-file-publishing-role-233693416966-ca-central-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-file-publishing-role-233693416966-ca-central-1
cdk-hnb659fds-file-publishing-role-233693416966-us-east-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-file-publishing-role-233693416966-us-east-1
cdk-hnb659fds-image-publishing-role-233693416966-ca-central-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-image-publishing-role-233693416966-ca-central-1
cdk-hnb659fds-image-publishing-role-233693416966-us-east-1,arn:aws:iam::233693416966:role/cdk-hnb659fds-image-publishing-role-233693416966-us-east-1
