RoleName,RoleArn,UnderCFN,CFNStackName
mono-repo-CodePipelineRole-UVT1WPR43QE7,arn:aws:iam::909180469036:role/mono-repo-CodePipelineRole-UVT1WPR43QE7,Yes,mono-repo
mono-repo-PipelineTriggerRole-1J2WXTSVTRXSZ,arn:aws:iam::909180469036:role/mono-repo-PipelineTriggerRole-1J2WXTSVTRXSZ,Yes,mono-repo
OIDC-CDKImportRole,arn:aws:iam::909180469036:role/OIDC-CDKImportRole,No,
OIDC-GitHubActionsRole,arn:aws:iam::909180469036:role/OIDC-GitHubActionsRole,No,
OIDCRole-GitHubActionsRole,arn:aws:iam::909180469036:role/OIDCRole-GitHubActionsRole,No,
OrthancRole,arn:aws:iam::909180469036:role/OrthancRole,No,
PrismaCloudOrgMemberReadOnly,arn:aws:iam::909180469036:role/PrismaCloudOrgMemberReadOnly,Yes,Prisma-1
PrismaCloudOrgMemberReadOnlyRole,arn:aws:iam::909180469036:role/PrismaCloudOrgMemberReadOnlyRole,Yes,Prisma
ReadOnlyS3Role111,arn:aws:iam::909180469036:role/security/ReadOnlyS3Role111,Yes,servicecatalogiamrole
ResourceConfigurationCollector-DO-NOT-DELETE,arn:aws:iam::909180469036:role/ResourceConfigurationCollector-DO-NOT-DELETE,No,
rtrt,arn:aws:iam::909180469036:role/rtrt,No,
SecurityHubWorkshop1-AMIComplianceLambdaRole-I1ZT5IE81FHA,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-AMIComplianceLambdaRole-I1ZT5IE81FHA,Yes,SecurityHubWorkshop1
SecurityHubWorkshop1-Clou-CloudCustodianInstanceRo-1LA43YZW34AGM,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-Clou-CloudCustodianInstanceRo-1LA43YZW34AGM,Yes,SecurityHubWorkshop1-CloudCustodianTemplate-18X4EVYP8NWII
SecurityHubWorkshop1-ConfigurationRecorderRole-16QW04D085AWY,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-ConfigurationRecorderRole-16QW04D085AWY,Yes,SecurityHubWorkshop1
SecurityHubWorkshop1-EnrichSecHubLambdaRole-1G9NNER19ELFD,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-EnrichSecHubLambdaRole-1G9NNER19ELFD,Yes,SecurityHubWorkshop1
SecurityHubWorkshop1-Inspec-InspectorRunLambdaRole-1OX1BFS5EUZ0A,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-Inspec-InspectorRunLambdaRole-1OX1BFS5EUZ0A,Yes,SecurityHubWorkshop1-InspectorTemplate-1BZVZTNMWHLFU
SecurityHubWorkshop1-IsolateInstanceLambdaRole-PSW03W34HN2Z,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-IsolateInstanceLambdaRole-PSW03W34HN2Z,Yes,SecurityHubWorkshop1
SecurityHubWorkshop1-Secr-SecretRotationCompliance-1VWIHFHOJIZIU,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-Secr-SecretRotationCompliance-1VWIHFHOJIZIU,Yes,SecurityHubWorkshop1-SecretsTemplate-1ACBIZFSEEE8V
SecurityHubWorkshop1-Secr-SecretsManagerRDSMySQLRo-3W5LW53U3HRF,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-Secr-SecretsManagerRDSMySQLRo-3W5LW53U3HRF,Yes,SecurityHubWorkshop1-SecretsTemplate-1ACBIZFSEEE8V-SecretRotationFunction-1RTCLG3ICY1KJ
SecurityHubWorkshop1-SSMInstanceRole-4TEG3C8MMT4U,arn:aws:iam::909180469036:role/SecurityHubWorkshop1-SSMInstanceRole-4TEG3C8MMT4U,Yes,SecurityHubWorkshop1
securityToolingPipelineSt-securityToolingPipelineA-17MVKETTMTJ9X,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelineA-17MVKETTMTJ9X,Yes,securityToolingPipelineStack
securityToolingPipelineSt-securityToolingPipelinec-17842NU6JMBFN,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelinec-17842NU6JMBFN,Yes,securityToolingPipelineStack
